sample_id,task,anchor,strategy,definition,metric,threshold,threshold_label,observed_horizon,measurement_limit,is_right_censored,availability,interpretation_note,sample_cluster
gov_report:0,gov_report,0,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,38,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,absolute_average_delta_nll,average_delta_nll,0.25,0.25,42,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,42,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,3,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,3,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,25,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.01,0.01,6,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,6,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.05,0.05,6,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,6,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.1,0.1,7,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,7,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.25,0.25,7,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,7,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,5,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,5,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.01,0.01,5,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,5,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.05,0.05,5,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,5,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.1,0.1,13,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,13,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.25,0.25,46,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,46,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,5,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,5,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,5,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,5,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.01,0.01,59,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,59,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.05,0.05,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.1,0.1,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.25,0.25,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,26,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,31,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,53,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,53,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,absolute_average_delta_nll,average_delta_nll,0.01,0.01,35,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,35,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,absolute_average_delta_nll,average_delta_nll,0.05,0.05,46,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,46,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,absolute_average_delta_nll,average_delta_nll,0.1,0.1,49,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,49,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,absolute_average_delta_nll,average_delta_nll,0.25,0.25,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,24,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,24,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,31,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,31,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.01,0.01,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,0,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.05,0.05,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,0,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.1,0.1,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,0,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.25,0.25,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,0,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,16,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.01,0.01,3,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,3,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.05,0.05,9,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,9,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.1,0.1,14,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,14,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.25,0.25,14,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,14,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,3,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,3,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,8,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,9,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.01,0.01,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.05,0.05,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.1,0.1,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.25,0.25,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,17,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,23,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,63,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,absolute_average_delta_nll,average_delta_nll,0.01,0.01,28,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,28,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,absolute_average_delta_nll,average_delta_nll,0.05,0.05,35,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,35,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,absolute_average_delta_nll,average_delta_nll,0.1,0.1,37,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,37,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,absolute_average_delta_nll,average_delta_nll,0.25,0.25,42,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,42,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,3,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,21,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,28,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,snapkv,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,30,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.01,0.01,1,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,1,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.05,0.05,1,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,1,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.1,0.1,1,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,1,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.25,0.25,1,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,1,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,1,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,1,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,1,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,48,v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,1,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:1,gov_report,0,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.01,0.01,26,64,False,available,max observed H satisfying threshold,gov_report::gov_report:1
